Country,Code,IncomeTax2013,CapitalTax2013
Australia,AUS,23.097,23.5485
Austria,AUT,16.237,25
Belgium,BEL,28.579,25
Canada,CAN,15.33,33.846156
Chile,CHL,0,25
Czech Republic,CZE,11.786,15
Denmark,DNK,35.823,42
Estonia,EST,17.469,0
Finland,FIN,22.539,22.4
France,FRA,14.609,44.001
Germany ,DEU,19.136,26.375
Greece,GRC,9.013,10
Hungary,HUN,16,16
Iceland,ISL,27.856,20
Ireland,IRL,14.705,48
Israel,ISR,8.798,30
Italy,ITA,21.537,20
Japan,JPN,7.659,10
Korea,KOR,5.08,35.398
Luxembourg,LUX,16.953,20
Mexico,MEX,8.4,0
Netherlands,NLD,15.658,25
New Zealand,NZL,16.888,6.944444444
Norway,NOR,21.389,28
Poland,POL,6.923,19
Portugal,PRT,16.167,28
Slovak Republic,SVK,9.367,0
Slovenia,SVN,10.959,25
Spain,ESP,16.568,27
Sweden    ,SWE,18.004,30
Switzerland,CHE,10.862,19.985
Turkey,TUR,13.516,17.5
United Kingdom,GBR,14.689,30.55625
United States,USA,16.935,30.34
